City,Price,Beds,Baths,Sqft,Address,Link
Florida,"$280,000",2 beds,2 baths,"1,000 sq ft","15665 SW 82nd Cir Ln Unit 4-15, Miami, FL 33193",N/A
Florida,"$4,850,000",3 beds,3.5 baths,"2,744 sq ft","2124 Fisher Island Dr #2124, Miami Beach, FL 33109",N/A
Florida,"$424,000",1 bed,1.5 baths,785 sq ft,"60 SW 13th St #2410, Miami, FL 33130",N/A
Florida,"$840,000",2 beds,2 baths,"1,310 sq ft","888 Brickell Key Dr #2209, Miami, FL 33131",N/A
Florida,"$225,000",1 bed,1 bath,712 sq ft,"7830 Camino Real Unit K-406, Miami, FL 33143",N/A
Florida,"$825,000",3 beds,2 baths,"1,406 sq ft","2000 N Bayshore Dr #1011, Miami, FL 33137",N/A
Florida,"$939,000",2 beds,2 baths,"1,096 sq ft","121 NE 34th St #1604, Miami, FL 33137",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$8,995,000",5 beds,7.5 baths,"6,902 sq ft","1300 Brickell Bay Dr #4400, Miami, FL 33131",N/A
Florida,"$950,000",5 beds,4.5 baths,"3,596 sq ft","15104 SW 176th St, Miami, FL 33187",N/A
Florida,"$695,000",4 beds,2 baths,"1,505 sq ft","6491 SW 18th St, West Miami, FL 33155",N/A
Florida,"$9,200,000",6 beds,7.5 baths,"6,599 sq ft","Undisclosed address, Pinecrest, FL 33156",N/A
Florida,"$1,050,000",3 beds,2 baths,"1,428 sq ft","2357 SW 11th Ter, Miami, FL 33135",N/A
Florida,"$690,000",4 beds,2 baths,"1,743 sq ft","4132 SW 98th Ave, Miami, FL 33165",N/A
Florida,"$315,000",1 bed,1 bath,780 sq ft,"7280 SW 90th St Unit E208, Miami, FL 33156",N/A
Florida,"$598,000",1 bed,1 bath,504 sq ft,"601 NE 1 St Ph 5008, Miami, FL 33132",N/A
Florida,"$2,175,000",4 beds,4.5 baths,"1,871 sq ft","480 NE 31st St #3301, Miami, FL 33137",N/A
Florida,"$600,000",4 beds,2 baths,"1,639 sq ft","141 SW 52nd Pl, Miami, FL 33134",N/A
Florida,"$549,973",3 beds,2 baths,"1,644 sq ft","7486 SW 162nd Ct, Miami, FL 33193",N/A
Florida,"$284,876",2 beds,2 baths,965 sq ft,"8045 SW 107th Ave #323, Miami, FL 33173",N/A
Florida,"$648,000",4 beds,2 baths,"1,374 sq ft","13411 SW 116th Pl, Miami, FL 33176",N/A
